id,total_evs,avg_battery,SUV,Pickup,Sedan,Van
4337,11,88.18181818181819,6,3,2,0
4343,11,88.18181818181819,6,3,2,0
4350,11,88.18181818181819,6,3,2,0
4351,11,88.18181818181819,6,3,2,0
4355,4,75.0,2,0,2,0
4356,11,88.18181818181819,6,3,2,0
4360,4,75.0,2,0,2,0
4372,4,75.0,2,0,2,0
4376,4,75.0,2,0,2,0
4383,4,75.0,2,0,2,0
4390,4,75.0,2,0,2,0
4392,4,75.0,2,0,2,0
4396,4,75.0,2,0,2,0
4399,4,75.0,2,0,2,0
4400,4,75.0,2,0,2,0
4405,4,75.0,2,0,2,0
4409,4,75.0,2,0,2,0
4413,4,75.0,2,0,2,0
4414,4,75.0,2,0,2,0
4420,4,75.0,2,0,2,0
4427,4,75.0,2,0,2,0
4428,4,75.0,2,0,2,0
4434,4,75.0,2,0,2,0
4436,4,75.0,2,0,2,0
4440,4,75.0,2,0,2,0
4443,4,75.0,2,0,2,0
4456,4,75.0,2,0,2,0
4461,4,75.0,2,0,2,0
4466,4,75.0,2,0,2,0
4469,4,75.0,2,0,2,0
4473,4,75.0,2,0,2,0
4504,0,,0,0,0,0
4505,0,,0,0,0,0
4506,0,,0,0,0,0
4507,0,,0,0,0,0
4508,0,,0,0,0,0
4509,0,,0,0,0,0
4510,0,,0,0,0,0
4511,0,,0,0,0,0
4512,0,,0,0,0,0
4513,0,,0,0,0,0
4514,0,,0,0,0,0
4515,0,,0,0,0,0
4516,0,,0,0,0,0
4517,0,,0,0,0,0
4518,0,,0,0,0,0
4519,0,,0,0,0,0
4520,0,,0,0,0,0
4521,0,,0,0,0,0
4522,0,,0,0,0,0
4523,0,,0,0,0,0
4524,0,,0,0,0,0
4525,0,,0,0,0,0
4526,0,,0,0,0,0
4527,0,,0,0,0,0
4528,0,,0,0,0,0
4529,0,,0,0,0,0
4530,0,,0,0,0,0
4531,0,,0,0,0,0
4532,0,,0,0,0,0
4533,0,,0,0,0,0
4534,0,,0,0,0,0
4536,0,,0,0,0,0
4537,0,,0,0,0,0
4538,0,,0,0,0,0
4539,0,,0,0,0,0
4540,0,,0,0,0,0
4541,0,,0,0,0,0
4542,0,,0,0,0,0
4543,0,,0,0,0,0
4544,0,,0,0,0,0
4545,0,,0,0,0,0
4546,0,,0,0,0,0
4547,0,,0,0,0,0
4548,0,,0,0,0,0
4549,0,,0,0,0,0
4550,0,,0,0,0,0
4551,0,,0,0,0,0
4552,0,,0,0,0,0
4553,0,,0,0,0,0
4554,0,,0,0,0,0
4555,0,,0,0,0,0
4556,0,,0,0,0,0
4557,0,,0,0,0,0
4558,0,,0,0,0,0
4559,0,,0,0,0,0
4560,0,,0,0,0,0
4561,0,,0,0,0,0
4562,0,,0,0,0,0
